ID,Name,Value,Rank
0,task0,5,4
1,task1,1,1
2,task2,7,3
3,task3,10,1
4,task4,9,3
5,task5,4,3
6,task6,4,3
7,task7,2,2
8,task8,7,1
9,task9,4,3
10,task10,8,2
11,task11,3,1
12,task12,3,1
13,task13,2,3
14,task14,1,4
15,task15,1,2
16,task16,7,2
17,task17,8,2
18,task18,8,4
19,task19,2,3
20,task20,9,3
21,task21,1,1
22,task22,4,2
23,task23,3,1
24,task24,8,2
25,task25,2,4
26,task26,10,2
27,task27,5,2
28,task28,2,3
29,task29,3,4
30,task30,2,3
31,task31,6,4
32,task32,2,4
33,task33,4,4
34,task34,1,2
35,task35,9,1
36,task36,7,1
37,task37,10,4
